Tarih,TP_DK_USD_S_YTL
2015-01-01,
2015-01-02,2.3311
2015-01-03,
2015-01-04,
2015-01-05,2.3491
2015-01-06,2.3453
2015-01-07,2.3319
2015-01-08,2.3297
2015-01-09,2.3118
2015-01-10,
2015-01-11,
2015-01-12,2.3047
2015-01-13,2.2932
2015-01-14,2.2819
2015-01-15,2.2968
2015-01-16,2.2844
2015-01-17,
2015-01-18,
2015-01-19,2.3125
2015-01-20,2.3424
2015-01-21,2.34
2015-01-22,2.3435
2015-01-23,2.3507
2015-01-24,
2015-01-25,
2015-01-26,2.3379
2015-01-27,2.3639
2015-01-28,2.3604
2015-01-29,2.3664
2015-01-30,2.4057
2015-01-31,
2015-02-01,
2015-02-02,2.4219
2015-02-03,2.428
2015-02-04,2.4194
2015-02-05,2.4141
2015-02-06,2.4485
2015-02-07,
2015-02-08,
2015-02-09,2.4386
2015-02-10,2.4901
2015-02-11,2.4841
2015-02-12,2.4941
2015-02-13,2.493
2015-02-14,
2015-02-15,
2015-02-16,2.4722
2015-02-17,2.4569
2015-02-18,2.4526
2015-02-19,2.4656
2015-02-20,2.4462
2015-02-21,
2015-02-22,
2015-02-23,2.4575
2015-02-24,2.4817
2015-02-25,2.481
2015-02-26,2.4642
2015-02-27,2.4831
2015-02-28,
2015-03-01,
2015-03-02,2.5123
2015-03-03,2.5165
2015-03-04,2.5232
2015-03-05,2.5455
2015-03-06,2.5862
2015-03-07,
2015-03-08,
2015-03-09,2.6027
2015-03-10,2.6094
2015-03-11,2.6318
2015-03-12,2.6238
2015-03-13,2.5936
2015-03-14,
2015-03-15,
2015-03-16,2.6177
2015-03-17,2.6255
2015-03-18,2.6197
2015-03-19,2.6225
2015-03-20,2.5972
2015-03-21,
2015-03-22,
2015-03-23,2.5985
2015-03-24,2.5745
2015-03-25,2.5551
2015-03-26,2.5601
2015-03-27,2.6009
2015-03-28,
2015-03-29,
2015-03-30,2.6154
2015-03-31,2.6149
2015-04-01,2.6181
2015-04-02,2.6055
2015-04-03,2.5985
2015-04-04,
2015-04-05,
2015-04-06,2.5952
2015-04-07,2.572
2015-04-08,2.5835
2015-04-09,2.5924
2015-04-10,2.5988
2015-04-11,
2015-04-12,
2015-04-13,2.6291
2015-04-14,2.6511
2015-04-15,2.6773
2015-04-16,2.7014
2015-04-17,2.7018
2015-04-18,
2015-04-19,
2015-04-20,2.6869
2015-04-21,2.6956
2015-04-22,2.704
2015-04-23,
2015-04-24,2.6928
2015-04-25,
2015-04-26,
2015-04-27,2.7269
2015-04-28,2.7293
2015-04-29,2.6821
2015-04-30,2.6692
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,2.6607
2015-05-05,2.7158
2015-05-06,2.7144
2015-05-07,2.7121
2015-05-08,2.7049
2015-05-09,
2015-05-10,
2015-05-11,2.6908
2015-05-12,2.6998
2015-05-13,2.6938
2015-05-14,2.6579
2015-05-15,2.62
2015-05-16,
2015-05-17,
2015-05-18,2.5918
2015-05-19,
2015-05-20,2.5828
2015-05-21,2.6065
2015-05-22,2.5715
2015-05-23,
2015-05-24,
2015-05-25,2.5959
2015-05-26,2.611
2015-05-27,2.6325
2015-05-28,2.647
2015-05-29,2.6581
2015-05-30,
2015-05-31,
2015-06-01,2.6635
2015-06-02,2.6811
2015-06-03,2.683
2015-06-04,2.6861
2015-06-05,2.6979
2015-06-06,
2015-06-07,
2015-06-08,2.6684
2015-06-09,2.7744
2015-06-10,2.7526
2015-06-11,2.7405
2015-06-12,2.7437
2015-06-13,
2015-06-14,
2015-06-15,2.7183
2015-06-16,2.7373
2015-06-17,2.7457
2015-06-18,2.7393
2015-06-19,2.717
2015-06-20,
2015-06-21,
2015-06-22,2.7193
2015-06-23,2.6835
2015-06-24,2.6758
2015-06-25,2.6818
2015-06-26,2.6686
2015-06-27,
2015-06-28,
2015-06-29,2.6635
2015-06-30,2.6911
2015-07-01,2.6898
2015-07-02,2.6801
2015-07-03,2.7041
2015-07-04,
2015-07-05,
2015-07-06,2.6924
2015-07-07,2.6948
2015-07-08,2.684
2015-07-09,2.6942
2015-07-10,2.6799
2015-07-11,
2015-07-12,
2015-07-13,2.6655
2015-07-14,2.6604
2015-07-15,2.6411
2015-07-16,2.6423
2015-07-17,
2015-07-18,
2015-07-19,
2015-07-20,2.6423
2015-07-21,2.6805
2015-07-22,2.6917
2015-07-23,2.7089
2015-07-24,2.7243
2015-07-25,
2015-07-26,
2015-07-27,2.7421
2015-07-28,2.7617
2015-07-29,2.76
2015-07-30,2.7684
2015-07-31,2.7795
2015-08-01,
2015-08-02,
2015-08-03,2.7889
2015-08-04,2.7786
2015-08-05,2.7738
2015-08-06,2.7897
2015-08-07,2.788
2015-08-08,
2015-08-09,
2015-08-10,2.784
2015-08-11,2.791
2015-08-12,2.7723
2015-08-13,2.7825
2015-08-14,2.788
2015-08-15,
2015-08-16,
2015-08-17,2.8367
2015-08-18,2.8535
2015-08-19,2.8782
2015-08-20,2.9061
2015-08-21,2.973
2015-08-22,
2015-08-23,
2015-08-24,2.9209
2015-08-25,2.953
2015-08-26,2.931
2015-08-27,2.94
2015-08-28,2.9152
2015-08-29,
2015-08-30,
2015-08-31,2.9199
2015-09-01,2.9231
2015-09-02,2.92
2015-09-03,2.9453
2015-09-04,2.9614
2015-09-05,
2015-09-06,
2015-09-07,2.9828
2015-09-08,3.034
2015-09-09,3.0199
2015-09-10,3.0094
2015-09-11,3.0457
2015-09-12,
2015-09-13,
2015-09-14,3.0396
2015-09-15,3.0654
2015-09-16,3.0489
2015-09-17,3.0173
2015-09-18,3.0197
2015-09-19,
2015-09-20,
2015-09-21,3.0015
2015-09-22,3.0032
2015-09-23,3.0123
2015-09-24,
2015-09-25,
2015-09-26,
2015-09-27,
2015-09-28,3.0123
2015-09-29,3.0518
2015-09-30,3.0488
2015-10-01,3.0306
2015-10-02,3.0228
2015-10-03,
2015-10-04,
2015-10-05,3.0291
2015-10-06,2.9978
2015-10-07,2.9933
2015-10-08,2.9433
2015-10-09,2.941
2015-10-10,
2015-10-11,
2015-10-12,2.9013
2015-10-13,2.9286
2015-10-14,2.9474
2015-10-15,2.9469
2015-10-16,2.8892
2015-10-17,
2015-10-18,
2015-10-19,2.8978
2015-10-20,2.8933
2015-10-21,2.9006
2015-10-22,2.9079
2015-10-23,2.8942
2015-10-24,
2015-10-25,
2015-10-26,2.8718
2015-10-27,2.8961
2015-10-28,2.8995
2015-10-29,
2015-10-30,2.8995
2015-10-31,
2015-11-01,
2015-11-02,2.9202
2015-11-03,2.8085
2015-11-04,2.8336
2015-11-05,2.8413
2015-11-06,2.8731
2015-11-07,
2015-11-08,
2015-11-09,2.8776
2015-11-10,2.9244
2015-11-11,2.9157
2015-11-12,2.8963
2015-11-13,2.882
2015-11-14,
2015-11-15,
2015-11-16,2.8738
2015-11-17,2.8827
2015-11-18,2.8771
2015-11-19,2.87
2015-11-20,2.8543
2015-11-21,
2015-11-22,
2015-11-23,2.8354
2015-11-24,2.8484
2015-11-25,2.8741
2015-11-26,2.8865
2015-11-27,2.9061
2015-11-28,
2015-11-29,
2015-11-30,2.9248
2015-12-01,2.9161
2015-12-02,2.8975
2015-12-03,2.8823
2015-12-04,2.8866
2015-12-05,
2015-12-06,
2015-12-07,2.8973
2015-12-08,2.8949
2015-12-09,2.9175
2015-12-10,2.9159
2015-12-11,2.9151
2015-12-12,
2015-12-13,
2015-12-14,2.9509
2015-12-15,2.972
2015-12-16,2.9755
2015-12-17,2.9684
2015-12-18,2.9364
2015-12-19,
2015-12-20,
2015-12-21,2.9282
2015-12-22,2.9121
2015-12-23,2.93
2015-12-24,2.9314
2015-12-25,2.924
2015-12-26,
2015-12-27,
2015-12-28,2.9175
2015-12-29,2.9209
2015-12-30,2.9137
2015-12-31,2.9128
2016-01-01,
2016-01-02,
2016-01-03,
